epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,3178.95,0.6556,0.63517,0.92208,0.55111,0.52948,0.54783,0.43867,0.75076,1.40487,1.07844,0.000113427,0.000113427,0.000113427
157,3200.7,0.61758,0.61898,0.9222,0.52239,0.54208,0.54375,0.43379,0.76105,1.39663,1.07897,0.000109198,0.000109198,0.000109198
158,3219.4,0.64722,0.6184,0.92482,0.63341,0.46496,0.53493,0.42896,0.76274,1.42005,1.08553,0.000104969,0.000104969,0.000104969
159,3241.44,0.64082,0.6077,0.90899,0.5236,0.54686,0.54024,0.4166,0.75771,1.4412,1.08378,0.000100739,0.000100739,0.000100739
160,3263.36,0.6033,0.60024,0.90665,0.60459,0.48174,0.53267,0.42402,0.76337,1.44679,1.08575,9.65095e-05,9.65095e-05,9.65095e-05
161,3281.86,0.61807,0.5919,0.91481,0.56031,0.51701,0.52217,0.41877,0.76429,1.47634,1.08942,9.228e-05,9.228e-05,9.228e-05
162,3304.05,0.62005,0.59637,0.9127,0.52637,0.55626,0.54229,0.431,0.75755,1.42346,1.09005,8.80505e-05,8.80505e-05,8.80505e-05
163,3322.62,0.62195,0.59032,0.9115,0.59347,0.50534,0.5339,0.4253,0.75593,1.45272,1.08716,8.3821e-05,8.3821e-05,8.3821e-05
164,3344.87,0.61324,0.59875,0.90988,0.57961,0.51385,0.52736,0.42523,0.74766,1.48956,1.08003,7.95915e-05,7.95915e-05,7.95915e-05
165,3367.15,0.63191,0.5982,0.91926,0.55083,0.50928,0.52952,0.42311,0.74847,1.52857,1.08393,7.5362e-05,7.5362e-05,7.5362e-05
166,3385.81,0.59955,0.58325,0.91024,0.43217,0.54046,0.52678,0.42308,0.74925,1.54754,1.07749,7.11325e-05,7.11325e-05,7.11325e-05
167,3407.85,0.63008,0.59577,0.9084,0.42782,0.42157,0.42907,0.33435,0.75215,1.5311,1.08521,6.6903e-05,6.6903e-05,6.6903e-05
168,3430.19,0.62586,0.57179,0.90699,0.42973,0.43882,0.43659,0.3384,0.75658,1.52654,1.08363,6.26735e-05,6.26735e-05,6.26735e-05
169,3448.81,0.61926,0.57256,0.91067,0.38093,0.61223,0.4328,0.33528,0.75941,1.56086,1.07869,5.8444e-05,5.8444e-05,5.8444e-05
170,3470.77,0.58533,0.56185,0.89951,0.50569,0.5583,0.54631,0.42391,0.74889,1.52503,1.07346,5.42145e-05,5.42145e-05,5.42145e-05
171,3493.92,0.57702,0.53775,0.89467,0.61621,0.50648,0.549,0.4184,0.75547,1.50269,1.08183,4.9985e-05,4.9985e-05,4.9985e-05
172,3512.67,0.57488,0.5357,0.89526,0.52921,0.55911,0.54907,0.41865,0.75464,1.47164,1.08214,4.57555e-05,4.57555e-05,4.57555e-05
173,3534.77,0.56849,0.52733,0.89032,0.57404,0.5109,0.53833,0.41372,0.76132,1.49722,1.08537,4.1526e-05,4.1526e-05,4.1526e-05
174,3553.79,0.56152,0.50679,0.89068,0.54924,0.52658,0.53597,0.40978,0.76811,1.52341,1.09233,3.72965e-05,3.72965e-05,3.72965e-05
175,3576,0.56025,0.51496,0.89789,0.55631,0.53201,0.53646,0.42664,0.75248,1.5372,1.0815,3.3067e-05,3.3067e-05,3.3067e-05
176,3595.8,0.55564,0.48713,0.88626,0.55065,0.5318,0.53847,0.41392,0.75677,1.53582,1.0838,2.88375e-05,2.88375e-05,2.88375e-05
